id,name,country,hindex,citation
7333,"Yang Yang","United States of America",137,84288
7397,"Bart De Moor","Belgium",130,94873
7520,"Stephen Grossberg","United States of America",122,70506
7361,"Peter Hall","Australia",134,91373
7517,"Didier Dubois","France",122,74990
7590,"Martin McKee","United Kingdom",118,62932
7840,"Hisashi Yamamoto","Japan",107,53768
7886,"Kalyanmoy Deb","United States of America",105,111943
7323,"Andrew Zisserman","United Kingdom",138,131091
7731,"Yoshua Bengio","Canada",111,105169
7610,"Christos Faloutsos","United States of America",117,73353
7841,"Yves Van De Peer","Belgium",107,52790
7670,"Trevor Hastie","United States of America",113,168224
7994,"Trevor Darrell","United States of America",100,57709
7594,"Gert Pfurtscheller","Austria",118,58183
7408,"Wolf Singer",null,129,77168
111778,"aissam outchakoucht","United Kingdom",2,null
113517,"hamza essamaali","",0,null
113885,"jean philippe leroy","",0,null
112196,"assadaporn sapsomboon","United States of America",0,null
113235,"francesco parino","",0,null
114424,"khaled riad","",0,null
114496,"laetitia gauvin","",0,null
114572,"li da xu","",0,null
114858,"mariano g beiro","",5,null
116011,"rongquan feng","China",0,null
116884,"w dilger","Germany",0,null
116901,"wattana viryasitavat","Thailand",0,null
117320,"zhuming m bi","United States of America",0,null
112166,"arpita nayak","",0,null
112886,"dmitry ermilov","",0,null
112900,"dong wang","",0,null
113169,"feng zhang","",0,null
113628,"hong ouyang","",44,null
113965,"jiakui zhao","",0,null
114341,"kaustubh dutta","India",0,null
115019,"maxim panov","",6,null
115168,"min liu","",0,null
115698,"pingfei zhu","",0,null
116929,"weiming shen","",0,null
117143,"yi jiao","China",0,null
117217,"yunfei hou","",0,null
117241,"yury yanovich","",0,null
117263,"yuxi liu","",0,null
7340,"Lei Li",null,147,87975
111990,"anan liu","Israel",0,null
112377,"butian huang","China",0,null
112408,"camille marini","",0,null
112586,"christian s perone","",4,null
113991,"jianhai chen","China",0,null
114973,"mathieu n galtier","",0,null
115768,"qinming he","China",0,null
115816,"rajdeep chatterjee","",0,null
115950,"rishav chatterjee","",0,null
116377,"somdip dey","",11,null
117302,"zhenguang liu","Singapore",0,null
116615,"thodoros topologlou","",0,null
116639,"thomas e doyle","Canada",0,null
112901,"dong zheng","",0,null
115982,"robert h deng","Singapore",0,null
117039,"ximeng liu","Singapore",0,null
117135,"yinghui zhang","",0,null
111703,"a besir kurtulmus","",1,null
112504,"chaojing tang","",0,null
113632,"hongyan kang","",0,null
114376,"kenny daniel","",0,null
114563,"lei zhang","",0,null
117018,"xiayang chen","",0,null
112081,"anna epishkina","Russia",0,null
116095,"sakshi valecha","India",0,null
116220,"sergey zapechnikov","Russia",0,null
116342,"shreya maji","India",0,null
116334,"siddhi velankar","India",0,null
111915,"alfonso gonzalezbriones","",7,null
113878,"javier prieto","Spain",0,null
114228,"juan m corchado","Spain",0,null
