id,name,country,hindex,citation
7566,"Bernhard Schölkopf",null,119,118868
7731,"Yoshua Bengio","Canada",111,105169
7375,"Christof Koch","United States of America",132,104531
7671,"Shankar Sastry","United States of America",113,94602
7340,"Lei Li",null,147,87975
7331,"Sebastian Thrun","United States of America",137,87405
7333,"Yang Yang","United States of America",137,84288
7408,"Wolf Singer",null,129,77168
7517,"Didier Dubois","France",122,74990
7610,"Christos Faloutsos","United States of America",117,73353
7584,"Henri Prade","France",118,72567
7520,"Stephen Grossberg","United States of America",122,70506
7625,"Rajkumar Buyya","Australia",116,69635
7833,"Jürgen Kurths",null,107,62998
7541,"Francisco Herrera","Spain",121,59883
7594,"Gert Pfurtscheller","Austria",118,58183
111703,"a besir kurtulmus","",1,0
111778,"aissam outchakoucht","United Kingdom",2,0
111915,"alfonso gonzalezbriones","",7,0
111951,"alun david preece","",0,0
111990,"anan liu","Israel",0,0
112081,"anna epishkina","Russia",0,0
112166,"arpita nayak","",0,0
112196,"assadaporn sapsomboon","United States of America",0,0
112223,"avi garg","",0,0
112242,"baoping yan","",0,0
112347,"bo xing","",0,0
112377,"butian huang","China",0,0
112408,"camille marini","",0,0
112504,"chaojing tang","",0,0
112586,"christian s perone","",4,0
112640,"claudio soriente","",0,0
112710,"damian gruber","",0,0
112809,"dayin liao","",0,0
112849,"diego carvalho viana","",0,0
112855,"dinesh c verma","",0,0
112886,"dmitry ermilov","",0,0
112900,"dong wang","",0,0
112901,"dong zheng","",0,0
113136,"farhana hanim mohsin","Malaysia",0,0
113169,"feng zhang","",0,0
113231,"francesca pick","",0,0
113235,"francesco parino","",0,0
113464,"guanggang geng","",9,0
113504,"h b a steens","",0,0
113517,"hamza essamaali","",0,0
113586,"henner gimpel","",13,0
113580,"hiroki matsutani","",0,0
113628,"hong ouyang","",44,0
113632,"hongyan kang","",0,0
113702,"ian j taylor","",0,0
113695,"igor ryabchikov","",0,0
113715,"ilarion pavel","",0,0
113824,"jake billings","",0,0
113878,"javier prieto","Spain",0,0
113885,"jean philippe leroy","",0,0
113965,"jiakui zhao","",0,0
113991,"jianhai chen","China",0,0
114196,"joseph y halpern","United States of America",0,0
114179,"josh pang","",0,0
114228,"juan m corchado","Spain",0,0
114239,"juliana abu bakar","Malaysia",0,0
114341,"kaustubh dutta","India",0,0
114376,"kenny daniel","",0,0
114424,"khaled riad","",0,0
114442,"kohei nakamura","Japan",0,0
114496,"laetitia gauvin","",0,0
114563,"lei zhang","",0,0
114572,"li da xu","",0,0
114858,"mariano g beiro","",5,0
114973,"mathieu n galtier","",0,0
115019,"maxim panov","",6,0
115062,"maximilian roglinger","Germany",0,0
115168,"min liu","",0,0
115216,"monika dutt","",0,0
115340,"nick gogerty","",0,0
115428,"nirmit desai","",0,0
115436,"norhayati md isa","Malaysia",0,0
115542,"p kathrani","United Kingdom",0,0
115698,"pingfei zhu","",0,0
115768,"qinming he","China",0,0
115816,"rajdeep chatterjee","",0,0
115950,"rishav chatterjee","",0,0
115982,"robert h deng","Singapore",0,0
116011,"rongquan feng","China",0,0
116095,"sakshi valecha","India",0,0
116220,"sergey zapechnikov","Russia",0,0
116286,"shengwen bao","Taiwan",0,0
116295,"shin morishima","Japan",0,0
116316,"shintaro mori","Japan",10,0
116342,"shreya maji","India",0,0
116334,"siddhi velankar","India",0,0
116371,"siti rohaya mat rahim","Malaysia",3,0
116377,"somdip dey","",11,0
116433,"srdjan marinovic","Switzerland",0,0
116615,"thodoros topologlou","",0,0
116639,"thomas e doyle","Canada",0,0
116729,"tshilidzi marwala","South Africa",0,0
116884,"w dilger","Germany",0,0
116901,"wattana viryasitavat","Thailand",0,0
